BMI,Breakfast 1,Breakfast 2,Lunch 1,Lunch 2,Dinner 1,Dinner 2,Food Type,BMR,Total Calories
16.3,Fruit Salad,Egg Sandwich,Pasta Salad,Veggie Wrap,Chicken Curry,Spaghetti,Non-Veg,1342,2650
33.2,Yogurt,Oatmeal,Vegetable Stir Fry,Sushi,Grilled Salmon,Lentil Soup,Non-Veg,1698,1800
29.1,Oatmeal,Egg Sandwich,Burrito Bowl,Soup,Grilled Steak,Spaghetti,Non-Veg,1206,1950
32.5,Granola,Fruit Salad,Quinoa Salad,Veggie Wrap,Chicken Stir Fry,Grilled Salmon,Non-Veg,1475,1800
22.9,Scrambled Eggs,Smoothie,Turkey Sandwich,Burrito Bowl,Spaghetti,Chicken Stir Fry,Non-Veg,1730,2150
23.9,Scrambled Eggs,Smoothie,Turkey Sandwich,Soup,Veggie Burger,Chicken Stir Fry,Non-Veg,1802,1900
18.4,Egg Sandwich,Pancakes,Vegetable Stir Fry,Pasta Salad,Veggie Burger,Veggie Pizza,Non-Veg,1524,2550
26.9,Cereal,Pancakes,Burrito Bowl,Quinoa Salad,Grilled Salmon,Spaghetti,Non-Veg,1315,1950
32.9,Yogurt,Fruit Salad,Vegetable Stir Fry,Chicken Wrap,Chicken Stir Fry,Lentil Soup,Non-Veg,1350,1500
20.2,Pancakes,Granola,Turkey Sandwich,Veggie Wrap,Veggie Burger,Chicken Curry,Non-Veg,2037,2250
21.8,Avocado Toast,Oatmeal,Chicken Wrap,Turkey Sandwich,Lentil Soup,Spaghetti,Non-Veg,1443,2050
25.8,Fruit Salad,Granola,Chicken Wrap,Soup,Lentil Soup,Stuffed Peppers,Non-Veg,1316,1550
22.0,Granola,Pancakes,Chicken Wrap,Vegetable Stir Fry,Grilled Salmon,Stuffed Peppers,Non-Veg,1600,2100
33.8,Scrambled Eggs,Yogurt,Grilled Chicken Salad,Chicken Wrap,Tacos,Stuffed Peppers,Non-Veg,1240,1450
32.0,Avocado Toast,Granola,Grilled Chicken Salad,Burrito Bowl,Lentil Soup,Chicken Curry,Non-Veg,1441,1750
29.3,Oatmeal,Scrambled Eggs,Sushi,Chicken Wrap,Chicken Curry,Veggie Pizza,Non-Veg,1570,1750
17.2,Fruit Salad,Cereal,Turkey Sandwich,Soup,Veggie Pizza,Grilled Steak,Non-Veg,1859,2350
26.4,Egg Sandwich,Oatmeal,Turkey Sandwich,Pasta Salad,Veggie Burger,Lentil Soup,Non-Veg,1482,1700
17.4,Egg Sandwich,Cereal,Quinoa Salad,Veggie Wrap,Veggie Pizza,Tacos,Non-Veg,1517,2550
16.9,Smoothie,Granola,Grilled Chicken Salad,Quinoa Salad,Lentil Soup,Stuffed Peppers,Non-Veg,1505,2400
30.4,Avocado Toast,Fruit Salad,Veggie Wrap,Quinoa Salad,Spaghetti,Chicken Stir Fry,Non-Veg,1397,1400
15.2,Pancakes,Fruit Salad,Veggie Wrap,Quinoa Salad,Chicken Stir Fry,Stuffed Peppers,Non-Veg,1351,2250
26.2,Cereal,Oatmeal,Chicken Wrap,Soup,Chicken Curry,Spaghetti,Non-Veg,1379,1800
31.3,Pancakes,Egg Sandwich,Chicken Wrap,Quinoa Salad,Spaghetti,Grilled Steak,Non-Veg,1379,1850
31.0,Yogurt,Pancakes,Chicken Wrap,Sushi,Chicken Stir Fry,Stuffed Peppers,Non-Veg,1547,1550
18.2,Avocado Toast,Scrambled Eggs,Veggie Wrap,Soup,Chicken Stir Fry,Spaghetti,Non-Veg,1604,2400
23.0,Avocado Toast,Yogurt,Veggie Wrap,Grilled Chicken Salad,Tacos,Chicken Stir Fry,Non-Veg,1672,1900
21.8,Pancakes,Smoothie,Vegetable Stir Fry,Burrito Bowl,Veggie Pizza,Grilled Salmon,Non-Veg,1834,2050
17.3,Granola,Yogurt,Chicken Wrap,Veggie Wrap,Lentil Soup,Stuffed Peppers,Non-Veg,1611,2450
32.9,Cereal,Avocado Toast,Burrito Bowl,Chicken Wrap,Grilled Steak,Veggie Burger,Non-Veg,1716,1800
16.5,Pancakes,Cereal,Burrito Bowl,Pasta Salad,Tacos,Grilled Steak,Non-Veg,1401,2800
17.5,Fruit Salad,Granola,Sushi,Grilled Chicken Salad,Spaghetti,Chicken Stir Fry,Non-Veg,1469,2450
32.3,Pancakes,Egg Sandwich,Sushi,Turkey Sandwich,Veggie Pizza,Grilled Salmon,Non-Veg,1332,1550
22.0,Egg Sandwich,Yogurt,Turkey Sandwich,Chicken Wrap,Stuffed Peppers,Veggie Pizza,Non-Veg,1970,2050
35.0,Oatmeal,Fruit Salad,Soup,Pasta Salad,Grilled Salmon,Chicken Curry,Non-Veg,1659,1800
19.0,Oatmeal,Fruit Salad,Vegetable Stir Fry,Sushi,Lentil Soup,Chicken Stir Fry,Non-Veg,1632,1700
17.3,Scrambled Eggs,Cereal,Vegetable Stir Fry,Burrito Bowl,Veggie Pizza,Veggie Burger,Non-Veg,1817,2500
25.5,Pancakes,Fruit Salad,Quinoa Salad,Vegetable Stir Fry,Chicken Curry,Chicken Stir Fry,Non-Veg,1872,1950
27.4,Yogurt,Oatmeal,Soup,Quinoa Salad,Veggie Burger,Tacos,Veg,1325,1500
18.6,Pancakes,Granola,Burrito Bowl,Soup,Veggie Burger,Grilled Salmon,Non-Veg,1387,2150
29.5,Cereal,Fruit Salad,Grilled Chicken Salad,Soup,Veggie Burger,Chicken Stir Fry,Non-Veg,1398,1400
24.1,Cereal,Granola,Sushi,Soup,Grilled Salmon,Tacos,Non-Veg,1773,1950
32.0,Granola,Avocado Toast,Veggie Wrap,Sushi,Chicken Stir Fry,Tacos,Non-Veg,1500,1550
27.3,Pancakes,Egg Sandwich,Soup,Chicken Wrap,Grilled Steak,Veggie Pizza,Non-Veg,1463,1900
34.0,Egg Sandwich,Cereal,Burrito Bowl,Vegetable Stir Fry,Grilled Steak,Veggie Pizza,Non-Veg,1439,1700
20.1,Fruit Salad,Oatmeal,Vegetable Stir Fry,Quinoa Salad,Spaghetti,Chicken Stir Fry,Non-Veg,1678,1750
15.7,Avocado Toast,Cereal,Burrito Bowl,Grilled Chicken Salad,Veggie Pizza,Grilled Salmon,Non-Veg,1265,2600
17.4,Yogurt,Granola,Veggie Wrap,Pasta Salad,Tacos,Chicken Stir Fry,Non-Veg,1450,2550
32.0,Smoothie,Avocado Toast,Vegetable Stir Fry,Quinoa Salad,Grilled Steak,Lentil Soup,Non-Veg,1473,1500
34.1,Granola,Fruit Salad,Chicken Wrap,Pasta Salad,Lentil Soup,Grilled Steak,Non-Veg,1735,1900
23.5,Yogurt,Fruit Salad,Pasta Salad,Grilled Chicken Salad,Veggie Pizza,Chicken Curry,Non-Veg,1529,1900
19.5,Pancakes,Avocado Toast,Sushi,Quinoa Salad,Grilled Steak,Chicken Stir Fry,Non-Veg,1594,2000
19.2,Smoothie,Fruit Salad,Vegetable Stir Fry,Turkey Sandwich,Veggie Burger,Grilled Salmon,Non-Veg,1551,1800
27.5,Avocado Toast,Oatmeal,Grilled Chicken Salad,Soup,Chicken Curry,Spaghetti,Non-Veg,1458,1750
25.8,Smoothie,Egg Sandwich,Vegetable Stir Fry,Veggie Wrap,Veggie Burger,Spaghetti,Non-Veg,1318,1800
17.0,Avocado Toast,Fruit Salad,Turkey Sandwich,Sushi,Veggie Burger,Lentil Soup,Veg,2108,2250
30.7,Scrambled Eggs,Smoothie,Vegetable Stir Fry,Veggie Wrap,Spaghetti,Veggie Pizza,Non-Veg,1818,1850
32.7,Cereal,Smoothie,Vegetable Stir Fry,Quinoa Salad,Chicken Curry,Spaghetti,Non-Veg,1642,1850
27.1,Scrambled Eggs,Pancakes,Pasta Salad,Quinoa Salad,Stuffed Peppers,Veggie Pizza,Non-Veg,1780,2200
28.3,Yogurt,Scrambled Eggs,Turkey Sandwich,Quinoa Salad,Spaghetti,Chicken Stir Fry,Non-Veg,1613,1700
34.8,Granola,Oatmeal,Burrito Bowl,Pasta Salad,Stuffed Peppers,Chicken Stir Fry,Non-Veg,1632,1900
15.7,Pancakes,Avocado Toast,Soup,Sushi,Stuffed Peppers,Chicken Stir Fry,Non-Veg,1449,2250
24.0,Scrambled Eggs,Cereal,Burrito Bowl,Vegetable Stir Fry,Spaghetti,Veggie Burger,Non-Veg,1230,2100
15.1,Smoothie,Egg Sandwich,Quinoa Salad,Pasta Salad,Veggie Pizza,Grilled Salmon,Non-Veg,1641,2550
21.8,Granola,Pancakes,Vegetable Stir Fry,Sushi,Chicken Stir Fry,Stuffed Peppers,Non-Veg,1336,1900
17.0,Cereal,Pancakes,Pasta Salad,Burrito Bowl,Lentil Soup,Chicken Stir Fry,Non-Veg,1472,2500
22.0,Granola,Egg Sandwich,Sushi,Vegetable Stir Fry,Veggie Pizza,Veggie Burger,Non-Veg,1563,2050
21.4,Oatmeal,Scrambled Eggs,Soup,Burrito Bowl,Stuffed Peppers,Veggie Burger,Non-Veg,1531,1850
31.0,Oatmeal,Pancakes,Chicken Wrap,Sushi,Veggie Pizza,Veggie Burger,Non-Veg,1443,1450
24.1,Yogurt,Pancakes,Chicken Wrap,Pasta Salad,Chicken Stir Fry,Spaghetti,Non-Veg,1621,2100
34.0,Pancakes,Oatmeal,Sushi,Turkey Sandwich,Lentil Soup,Grilled Steak,Non-Veg,1403,1750
18.2,Yogurt,Oatmeal,Soup,Pasta Salad,Veggie Burger,Stuffed Peppers,Veg,1667,2200
21.8,Smoothie,Oatmeal,Grilled Chicken Salad,Soup,Chicken Curry,Chicken Stir Fry,Non-Veg,1557,1800
22.9,Egg Sandwich,Pancakes,Sushi,Quinoa Salad,Grilled Salmon,Stuffed Peppers,Non-Veg,1606,1950
24.4,Avocado Toast,Granola,Grilled Chicken Salad,Vegetable Stir Fry,Grilled Steak,Stuffed Peppers,Non-Veg,1654,2100
19.0,Yogurt,Pancakes,Sushi,Vegetable Stir Fry,Tacos,Grilled Steak,Non-Veg,1676,1950
20.6,Fruit Salad,Pancakes,Pasta Salad,Turkey Sandwich,Tacos,Lentil Soup,Veg,1417,1900
22.7,Yogurt,Scrambled Eggs,Sushi,Pasta Salad,Chicken Curry,Grilled Salmon,Non-Veg,1629,1950
24.5,Granola,Avocado Toast,Vegetable Stir Fry,Chicken Wrap,Grilled Salmon,Chicken Stir Fry,Non-Veg,1370,2100
15.1,Smoothie,Oatmeal,Sushi,Pasta Salad,Veggie Pizza,Lentil Soup,Non-Veg,1416,2250
25.7,Cereal,Scrambled Eggs,Burrito Bowl,Vegetable Stir Fry,Stuffed Peppers,Grilled Steak,Non-Veg,1679,1800
16.2,Scrambled Eggs,Oatmeal,Soup,Burrito Bowl,Veggie Pizza,Chicken Stir Fry,Non-Veg,1823,2350
25.8,Fruit Salad,Pancakes,Vegetable Stir Fry,Grilled Chicken Salad,Veggie Pizza,Spaghetti,Non-Veg,1506,1650
21.8,Oatmeal,Smoothie,Burrito Bowl,Quinoa Salad,Grilled Salmon,Stuffed Peppers,Non-Veg,1468,1950
32.7,Smoothie,Cereal,Sushi,Chicken Wrap,Grilled Steak,Chicken Curry,Non-Veg,1649,1650
29.0,Pancakes,Scrambled Eggs,Burrito Bowl,Chicken Wrap,Chicken Curry,Grilled Steak,Non-Veg,1596,2150
31.4,Cereal,Fruit Salad,Chicken Wrap,Vegetable Stir Fry,Chicken Curry,Veggie Burger,Non-Veg,1928,2350
16.5,Yogurt,Pancakes,Veggie Wrap,Pasta Salad,Tacos,Spaghetti,Non-Veg,1618,2600
33.6,Smoothie,Granola,Burrito Bowl,Chicken Wrap,Grilled Salmon,Tacos,Non-Veg,1811,1850
25.3,Cereal,Yogurt,Soup,Veggie Wrap,Veggie Burger,Spaghetti,Veg,1640,1950
33.9,Cereal,Yogurt,Vegetable Stir Fry,Turkey Sandwich,Veggie Pizza,Lentil Soup,Veg,1462,1500
30.6,Granola,Egg Sandwich,Quinoa Salad,Pasta Salad,Grilled Steak,Chicken Stir Fry,Non-Veg,1569,1750
17.9,Oatmeal,Fruit Salad,Burrito Bowl,Chicken Wrap,Grilled Steak,Veggie Pizza,Non-Veg,1254,2600
23.2,Avocado Toast,Yogurt,Grilled Chicken Salad,Soup,Chicken Curry,Tacos,Non-Veg,1218,1950
23.1,Avocado Toast,Smoothie,Quinoa Salad,Pasta Salad,Lentil Soup,Veggie Pizza,Non-Veg,1488,1900
23.5,Egg Sandwich,Yogurt,Pasta Salad,Grilled Chicken Salad,Chicken Stir Fry,Veggie Burger,Non-Veg,1486,1950
29.9,Fruit Salad,Yogurt,Soup,Sushi,Chicken Stir Fry,Spaghetti,Non-Veg,1523,1550
27.5,Pancakes,Egg Sandwich,Pasta Salad,Soup,Chicken Stir Fry,Stuffed Peppers,Non-Veg,1280,1650
31.9,Fruit Salad,Avocado Toast,Turkey Sandwich,Veggie Wrap,Grilled Steak,Grilled Salmon,Non-Veg,1845,2200
15.0,Cereal,Fruit Salad,Veggie Wrap,Chicken Wrap,Grilled Steak,Veggie Burger,Non-Veg,1444,2500
20.3,Egg Sandwich,Yogurt,Quinoa Salad,Chicken Wrap,Spaghetti,Veggie Burger,Non-Veg,1411,2150
22.6,Scrambled Eggs,Cereal,Pasta Salad,Sushi,Veggie Pizza,Spaghetti,Non-Veg,1443,2000
15.4,Fruit Salad,Avocado Toast,Turkey Sandwich,Pasta Salad,Chicken Curry,Tacos,Non-Veg,1737,2600
32.3,Cereal,Granola,Burrito Bowl,Soup,Stuffed Peppers,Grilled Salmon,Non-Veg,1622,2050
34.3,Fruit Salad,Granola,Pasta Salad,Sushi,Tacos,Veggie Burger,Veg,1290,1500
25.0,Scrambled Eggs,Cereal,Grilled Chicken Salad,Burrito Bowl,Veggie Burger,Chicken Curry,Non-Veg,1655,1900
24.1,Yogurt,Smoothie,Soup,Turkey Sandwich,Grilled Salmon,Chicken Curry,Non-Veg,1762,1900
34.6,Fruit Salad,Scrambled Eggs,Grilled Chicken Salad,Sushi,Chicken Stir Fry,Chicken Curry,Non-Veg,2058,2100
20.0,Granola,Yogurt,Vegetable Stir Fry,Sushi,Grilled Steak,Veggie Pizza,Non-Veg,1455,2000
21.0,Fruit Salad,Cereal,Quinoa Salad,Veggie Wrap,Tacos,Chicken Stir Fry,Non-Veg,1380,1800
15.1,Smoothie,Granola,Quinoa Salad,Pasta Salad,Veggie Burger,Grilled Steak,Non-Veg,1689,2700
25.9,Avocado Toast,Smoothie,Pasta Salad,Turkey Sandwich,Veggie Burger,Chicken Curry,Non-Veg,1399,1900
30.7,Pancakes,Yogurt,Pasta Salad,Vegetable Stir Fry,Grilled Salmon,Veggie Burger,Non-Veg,1295,1400
25.8,Egg Sandwich,Avocado Toast,Vegetable Stir Fry,Soup,Tacos,Lentil Soup,Non-Veg,1402,1600
23.2,Pancakes,Scrambled Eggs,Burrito Bowl,Quinoa Salad,Spaghetti,Tacos,Non-Veg,1298,2250
33.7,Avocado Toast,Scrambled Eggs,Grilled Chicken Salad,Veggie Wrap,Grilled Steak,Chicken Curry,Non-Veg,1443,1650
27.9,Cereal,Egg Sandwich,Chicken Wrap,Sushi,Veggie Pizza,Tacos,Non-Veg,1327,1850
16.4,Yogurt,Oatmeal,Quinoa Salad,Grilled Chicken Salad,Tacos,Veggie Burger,Non-Veg,1321,2350
30.4,Fruit Salad,Cereal,Veggie Wrap,Sushi,Stuffed Peppers,Grilled Steak,Non-Veg,1444,1700
34.0,Yogurt,Fruit Salad,Vegetable Stir Fry,Veggie Wrap,Spaghetti,Stuffed Peppers,Non-Veg,1491,1700
33.6,Scrambled Eggs,Avocado Toast,Grilled Chicken Salad,Sushi,Tacos,Veggie Burger,Non-Veg,1612,1650
16.6,Oatmeal,Scrambled Eggs,Turkey Sandwich,Quinoa Salad,Veggie Burger,Veggie Pizza,Non-Veg,1373,2400
21.4,Pancakes,Cereal,Chicken Wrap,Turkey Sandwich,Grilled Salmon,Stuffed Peppers,Non-Veg,1549,2050
28.3,Egg Sandwich,Avocado Toast,Grilled Chicken Salad,Pasta Salad,Grilled Salmon,Spaghetti,Non-Veg,1623,1950
15.2,Scrambled Eggs,Fruit Salad,Vegetable Stir Fry,Grilled Chicken Salad,Chicken Stir Fry,Tacos,Non-Veg,1843,2250
30.1,Cereal,Yogurt,Burrito Bowl,Quinoa Salad,Spaghetti,Tacos,Non-Veg,1502,1650
22.1,Yogurt,Egg Sandwich,Sushi,Quinoa Salad,Veggie Burger,Chicken Stir Fry,Non-Veg,1419,1850
21.8,Fruit Salad,Avocado Toast,Grilled Chicken Salad,Vegetable Stir Fry,Veggie Pizza,Chicken Stir Fry,Non-Veg,1559,1750
18.0,Smoothie,Oatmeal,Soup,Quinoa Salad,Lentil Soup,Grilled Salmon,Non-Veg,1533,2150
19.9,Pancakes,Smoothie,Turkey Sandwich,Veggie Wrap,Tacos,Spaghetti,Veg,1386,2150
31.4,Smoothie,Avocado Toast,Turkey Sandwich,Pasta Salad,Veggie Pizza,Grilled Salmon,Non-Veg,1613,1950
22.4,Scrambled Eggs,Avocado Toast,Turkey Sandwich,Pasta Salad,Spaghetti,Grilled Steak,Non-Veg,1926,2250
15.4,Scrambled Eggs,Pancakes,Pasta Salad,Quinoa Salad,Chicken Stir Fry,Spaghetti,Non-Veg,1450,2550
34.0,Avocado Toast,Oatmeal,Pasta Salad,Turkey Sandwich,Veggie Burger,Grilled Salmon,Non-Veg,1520,1850
17.0,Fruit Salad,Egg Sandwich,Turkey Sandwich,Soup,Veggie Pizza,Grilled Steak,Non-Veg,1488,2450
30.8,Avocado Toast,Fruit Salad,Soup,Grilled Chicken Salad,Tacos,Lentil Soup,Non-Veg,1605,1750
34.3,Smoothie,Oatmeal,Pasta Salad,Grilled Chicken Salad,Grilled Salmon,Veggie Burger,Non-Veg,1475,1900
21.8,Granola,Egg Sandwich,Sushi,Pasta Salad,Lentil Soup,Veggie Burger,Non-Veg,1656,2050
31.2,Smoothie,Scrambled Eggs,Veggie Wrap,Turkey Sandwich,Grilled Salmon,Veggie Burger,Non-Veg,1373,1450
21.4,Pancakes,Granola,Quinoa Salad,Vegetable Stir Fry,Chicken Stir Fry,Spaghetti,Non-Veg,1479,2100
17.6,Oatmeal,Fruit Salad,Soup,Vegetable Stir Fry,Veggie Pizza,Chicken Stir Fry,Non-Veg,1844,2050
16.4,Granola,Avocado Toast,Vegetable Stir Fry,Burrito Bowl,Chicken Stir Fry,Spaghetti,Non-Veg,1533,2750
15.6,Oatmeal,Pancakes,Grilled Chicken Salad,Vegetable Stir Fry,Spaghetti,Grilled Steak,Non-Veg,1628,2550
26.6,Smoothie,Avocado Toast,Vegetable Stir Fry,Chicken Wrap,Chicken Stir Fry,Veggie Pizza,Non-Veg,1854,2050
34.3,Avocado Toast,Pancakes,Soup,Pasta Salad,Stuffed Peppers,Spaghetti,Veg,1538,2000
30.4,Oatmeal,Cereal,Soup,Turkey Sandwich,Veggie Pizza,Grilled Salmon,Non-Veg,1703,1900
31.4,Yogurt,Egg Sandwich,Quinoa Salad,Sushi,Chicken Stir Fry,Tacos,Non-Veg,1974,2000
27.5,Granola,Pancakes,Vegetable Stir Fry,Sushi,Tacos,Veggie Pizza,Veg,1546,1800
18.4,Smoothie,Scrambled Eggs,Grilled Chicken Salad,Chicken Wrap,Grilled Steak,Lentil Soup,Non-Veg,1657,2500
32.5,Egg Sandwich,Fruit Salad,Grilled Chicken Salad,Quinoa Salad,Grilled Steak,Chicken Stir Fry,Non-Veg,1600,1650
19.1,Smoothie,Pancakes,Grilled Chicken Salad,Burrito Bowl,Grilled Steak,Chicken Curry,Non-Veg,1702,2300
19.9,Smoothie,Egg Sandwich,Turkey Sandwich,Soup,Veggie Burger,Lentil Soup,Non-Veg,1601,1850
30.5,Granola,Yogurt,Burrito Bowl,Vegetable Stir Fry,Chicken Stir Fry,Grilled Steak,Non-Veg,1640,1650
18.2,Yogurt,Cereal,Sushi,Vegetable Stir Fry,Chicken Stir Fry,Stuffed Peppers,Non-Veg,1563,2150
31.9,Egg Sandwich,Granola,Pasta Salad,Turkey Sandwich,Lentil Soup,Tacos,Non-Veg,1685,1700
31.9,Granola,Egg Sandwich,Quinoa Salad,Sushi,Grilled Steak,Chicken Stir Fry,Non-Veg,1738,1850
29.8,Yogurt,Egg Sandwich,Pasta Salad,Veggie Wrap,Stuffed Peppers,Grilled Steak,Non-Veg,1964,2100
26.1,Oatmeal,Cereal,Pasta Salad,Sushi,Spaghetti,Chicken Stir Fry,Non-Veg,1617,1650
34.7,Granola,Egg Sandwich,Pasta Salad,Grilled Chicken Salad,Chicken Curry,Veggie Burger,Non-Veg,1580,1800
24.1,Yogurt,Cereal,Soup,Chicken Wrap,Veggie Pizza,Tacos,Non-Veg,1784,1900
27.7,Yogurt,Scrambled Eggs,Grilled Chicken Salad,Sushi,Stuffed Peppers,Spaghetti,Non-Veg,1542,1600
27.2,Fruit Salad,Scrambled Eggs,Burrito Bowl,Sushi,Chicken Stir Fry,Spaghetti,Non-Veg,1893,2000
33.2,Cereal,Granola,Veggie Wrap,Soup,Grilled Steak,Chicken Curry,Non-Veg,1409,1650
33.1,Smoothie,Fruit Salad,Quinoa Salad,Sushi,Lentil Soup,Chicken Stir Fry,Non-Veg,1549,1600
32.2,Cereal,Egg Sandwich,Chicken Wrap,Grilled Chicken Salad,Tacos,Lentil Soup,Non-Veg,1648,1950
22.5,Yogurt,Fruit Salad,Quinoa Salad,Veggie Wrap,Stuffed Peppers,Veggie Burger,Veg,1346,1700
23.6,Granola,Fruit Salad,Soup,Vegetable Stir Fry,Veggie Burger,Grilled Salmon,Non-Veg,1367,1800
15.1,Fruit Salad,Cereal,Chicken Wrap,Burrito Bowl,Spaghetti,Veggie Pizza,Non-Veg,1851,2650
15.0,Granola,Egg Sandwich,Veggie Wrap,Vegetable Stir Fry,Tacos,Veggie Burger,Non-Veg,1541,2650
28.3,Fruit Salad,Yogurt,Sushi,Pasta Salad,Chicken Stir Fry,Stuffed Peppers,Non-Veg,2049,2350
16.2,Granola,Fruit Salad,Veggie Wrap,Sushi,Chicken Curry,Stuffed Peppers,Non-Veg,1490,2450
29.6,Scrambled Eggs,Avocado Toast,Burrito Bowl,Vegetable Stir Fry,Veggie Pizza,Spaghetti,Non-Veg,1184,1900
16.8,Fruit Salad,Scrambled Eggs,Burrito Bowl,Turkey Sandwich,Chicken Stir Fry,Chicken Curry,Non-Veg,1740,2550
15.4,Pancakes,Fruit Salad,Veggie Wrap,Soup,Veggie Burger,Spaghetti,Non-Veg,1658,2350
17.0,Avocado Toast,Cereal,Chicken Wrap,Soup,Tacos,Spaghetti,Non-Veg,1536,2600
27.4,Oatmeal,Pancakes,Sushi,Turkey Sandwich,Grilled Steak,Spaghetti,Non-Veg,1915,2200
29.2,Yogurt,Cereal,Quinoa Salad,Sushi,Grilled Steak,Veggie Pizza,Non-Veg,1543,1650
24.0,Scrambled Eggs,Fruit Salad,Soup,Turkey Sandwich,Spaghetti,Chicken Curry,Non-Veg,1563,1950
32.9,Avocado Toast,Egg Sandwich,Soup,Veggie Wrap,Stuffed Peppers,Tacos,Non-Veg,1756,1950
29.7,Fruit Salad,Avocado Toast,Burrito Bowl,Veggie Wrap,Stuffed Peppers,Lentil Soup,Veg,1397,1600
28.2,Scrambled Eggs,Avocado Toast,Pasta Salad,Veggie Wrap,Lentil Soup,Grilled Salmon,Non-Veg,1702,1800
17.9,Oatmeal,Yogurt,Pasta Salad,Soup,Chicken Stir Fry,Chicken Curry,Non-Veg,1623,2300
18.4,Oatmeal,Yogurt,Grilled Chicken Salad,Turkey Sandwich,Tacos,Stuffed Peppers,Non-Veg,1661,2350
17.4,Pancakes,Granola,Turkey Sandwich,Pasta Salad,Veggie Pizza,Tacos,Non-Veg,1441,2750
26.0,Yogurt,Scrambled Eggs,Sushi,Chicken Wrap,Chicken Stir Fry,Grilled Salmon,Non-Veg,1575,1600
27.4,Yogurt,Scrambled Eggs,Turkey Sandwich,Vegetable Stir Fry,Grilled Steak,Veggie Pizza,Non-Veg,1557,1700
16.5,Oatmeal,Pancakes,Chicken Wrap,Vegetable Stir Fry,Grilled Steak,Chicken Stir Fry,Non-Veg,1702,2500
31.9,Avocado Toast,Egg Sandwich,Burrito Bowl,Pasta Salad,Chicken Curry,Grilled Steak,Non-Veg,1334,1950
18.0,Pancakes,Smoothie,Quinoa Salad,Veggie Wrap,Veggie Burger,Chicken Stir Fry,Non-Veg,1296,2400
29.2,Avocado Toast,Egg Sandwich,Quinoa Salad,Sushi,Grilled Steak,Chicken Stir Fry,Non-Veg,1297,1800
17.9,Pancakes,Avocado Toast,Veggie Wrap,Quinoa Salad,Grilled Salmon,Veggie Burger,Non-Veg,1602,2500
29.7,Granola,Smoothie,Sushi,Quinoa Salad,Lentil Soup,Chicken Stir Fry,Non-Veg,2053,2450
34.2,Avocado Toast,Granola,Vegetable Stir Fry,Soup,Veggie Pizza,Chicken Stir Fry,Non-Veg,1446,1650
20.3,Smoothie,Oatmeal,Quinoa Salad,Burrito Bowl,Tacos,Veggie Pizza,Non-Veg,1325,2050
21.8,Yogurt,Oatmeal,Chicken Wrap,Pasta Salad,Lentil Soup,Grilled Salmon,Non-Veg,1500,1850
33.1,Avocado Toast,Fruit Salad,Chicken Wrap,Turkey Sandwich,Chicken Curry,Grilled Steak,Non-Veg,1539,1700
34.2,Oatmeal,Avocado Toast,Pasta Salad,Burrito Bowl,Spaghetti,Stuffed Peppers,Veg,1697,1900
26.1,Scrambled Eggs,Fruit Salad,Chicken Wrap,Grilled Chicken Salad,Veggie Burger,Tacos,Non-Veg,1676,1700
23.5,Pancakes,Scrambled Eggs,Burrito Bowl,Quinoa Salad,Grilled Steak,Chicken Curry,Non-Veg,1689,2300
17.4,Yogurt,Scrambled Eggs,Vegetable Stir Fry,Veggie Wrap,Chicken Curry,Grilled Salmon,Non-Veg,1627,2400
19.6,Egg Sandwich,Fruit Salad,Soup,Sushi,Grilled Steak,Veggie Pizza,Non-Veg,1392,1850
19.0,Granola,Pancakes,Soup,Turkey Sandwich,Grilled Steak,Chicken Stir Fry,Non-Veg,1572,2100
21.1,Egg Sandwich,Oatmeal,Chicken Wrap,Grilled Chicken Salad,Grilled Salmon,Grilled Steak,Non-Veg,1726,2150
30.0,Egg Sandwich,Scrambled Eggs,Soup,Pasta Salad,Spaghetti,Chicken Stir Fry,Non-Veg,1480,1500
31.2,Smoothie,Fruit Salad,Grilled Chicken Salad,Vegetable Stir Fry,Grilled Salmon,Stuffed Peppers,Non-Veg,1638,1700
24.5,Cereal,Oatmeal,Chicken Wrap,Sushi,Tacos,Grilled Salmon,Non-Veg,1794,1950
33.6,Oatmeal,Scrambled Eggs,Soup,Burrito Bowl,Chicken Stir Fry,Veggie Pizza,Non-Veg,1811,2100
17.3,Cereal,Scrambled Eggs,Veggie Wrap,Grilled Chicken Salad,Grilled Steak,Stuffed Peppers,Non-Veg,1441,2450
15.7,Cereal,Avocado Toast,Turkey Sandwich,Soup,Grilled Salmon,Stuffed Peppers,Non-Veg,1486,2350
16.3,Fruit Salad,Egg Sandwich,Soup,Pasta Salad,Grilled Steak,Veggie Pizza,Non-Veg,1540,2450
34.8,Egg Sandwich,Oatmeal,Chicken Wrap,Veggie Wrap,Spaghetti,Chicken Curry,Non-Veg,1950,1950
23.6,Cereal,Egg Sandwich,Vegetable Stir Fry,Soup,Lentil Soup,Grilled Steak,Non-Veg,1632,1850
16.8,Scrambled Eggs,Yogurt,Veggie Wrap,Vegetable Stir Fry,Tacos,Lentil Soup,Non-Veg,1342,2250
34.6,Yogurt,Cereal,Sushi,Pasta Salad,Grilled Salmon,Veggie Pizza,Non-Veg,1613,1950
26.5,Egg Sandwich,Granola,Vegetable Stir Fry,Veggie Wrap,Grilled Salmon,Veggie Pizza,Non-Veg,1477,1850
